0001	0.0009986268	0.777	6.028	NaN	NaN	NaN	NaN
0002	0.0009986903	0.874	4.060	NaN	NaN	NaN	NaN
0003	0.0009991342	1.056	0.915	NaN	NaN	NaN	NaN
0004	0.0009998952	0.000	2.871	NaN	NaN	NaN	NaN
0005	0.0010003709	0.000	4.300	NaN	NaN	NaN	NaN
0006	0.0010007514	1.109	1.914	NaN	NaN	NaN	NaN
0007	0.0010008465	0.000	5.243	NaN	NaN	NaN	NaN
0008	0.0010014807	1.528	3.927	NaN	NaN	NaN	NaN
0009	0.0010016710	1.007	5.378	NaN	NaN	NaN	NaN
0010	0.0010019564	0.766	3.183	NaN	NaN	NaN	NaN
0011	0.0010026540	0.694	0.675	NaN	NaN	NaN	NaN
0012	0.0010032565	0.000	1.240	NaN	NaN	NaN	NaN
0013	0.0010034784	0.506	4.815	NaN	NaN	NaN	NaN
0014	0.0010041761	0.000	5.380	NaN	NaN	NaN	NaN
0015	0.0010042712	1.511	1.571	NaN	NaN	NaN	NaN
0016	0.0010049688	0.668	1.686	NaN	NaN	NaN	NaN
0017	0.0010051273	0.000	5.578	NaN	NaN	NaN	NaN
0018	0.0010052859	0.000	0.951	NaN	NaN	NaN	NaN
0019	0.0010054444	0.000	2.075	NaN	NaN	NaN	NaN
0020	0.0010055713	1.197	2.976	NaN	NaN	NaN	NaN
0021	0.0010060786	0.000	2.159	NaN	NaN	NaN	NaN
0022	0.0010062055	1.390	3.142	NaN	NaN	NaN	NaN
0023	0.0010065543	0.979	3.774	NaN	NaN	NaN	NaN
0024	0.0010066494	0.000	3.463	NaN	NaN	NaN	NaN
0025	0.0010069665	0.918	5.709	NaN	NaN	NaN	NaN
0026	0.0010075056	0.000	4.327	NaN	NaN	NaN	NaN
0027	0.0010076007	0.676	5.888	NaN	NaN	NaN	NaN
0028	0.0010079495	0.000	1.636	NaN	NaN	NaN	NaN
0029	0.0010081081	0.626	5.393	NaN	NaN	NaN	NaN
0030	0.0010089008	1.266	2.498	NaN	NaN	NaN	NaN
0031	0.0010089642	0.000	2.885	NaN	NaN	NaN	NaN
0032	0.0010091862	0.000	4.899	NaN	NaN	NaN	NaN
0033	0.0010098521	0.000	4.991	NaN	NaN	NaN	NaN
0034	0.0010099472	0.000	6.210	NaN	NaN	NaN	NaN
0035	0.0010104863	0.000	5.395	NaN	NaN	NaN	NaN
0036	0.0010106131	0.766	3.100	NaN	NaN	NaN	NaN
0037	0.0010110254	1.100	1.438	NaN	NaN	NaN	NaN
0038	0.0010111205	0.477	4.916	NaN	NaN	NaN	NaN
0039	0.0010114376	0.000	1.354	NaN	NaN	NaN	NaN
0040	0.0010119450	0.657	2.222	NaN	NaN	NaN	NaN
0041	0.0010123572	1.409	1.951	NaN	NaN	NaN	NaN
0042	0.0010124206	0.557	5.725	NaN	NaN	NaN	NaN
0043	0.0010131499	1.185	5.212	NaN	NaN	NaN	NaN
0044	0.0010135304	0.924	4.613	NaN	NaN	NaN	NaN
0045	0.0010136256	0.000	3.192	NaN	NaN	NaN	NaN
0046	0.0010139427	0.765	2.356	NaN	NaN	NaN	NaN
0047	0.0010140695	0.000	0.745	NaN	NaN	NaN	NaN
0048	0.0010143866	0.000	4.391	NaN	NaN	NaN	NaN
0049	0.0010147988	0.000	0.357	NaN	NaN	NaN	NaN
0050	0.0010150525	0.392	4.483	NaN	NaN	NaN	NaN
0051	0.0010155599	0.000	5.061	NaN	NaN	NaN	NaN
0052	0.0010160672	1.056	5.627	NaN	NaN	NaN	NaN
0053	0.0010165112	1.271	2.723	NaN	NaN	NaN	NaN
0054	0.0010166380	0.000	3.238	NaN	NaN	NaN	NaN
0055	0.0010167648	1.182	2.820	NaN	NaN	NaN	NaN
0056	0.0010168917	0.000	4.827	NaN	NaN	NaN	NaN
0057	0.0010175259	0.000	4.237	NaN	NaN	NaN	NaN
0058	0.0010175893	1.065	5.093	NaN	NaN	NaN	NaN
0059	0.0010181601	0.000	3.868	NaN	NaN	NaN	NaN
