0.0043417	7.3561e-16	0.68207		0.53347		5.9350e-22
0.0037343	-2.0297e-17	0.10474		0.62924		2.6135e-22
0.013152	8.8204e-15	-0.98805	3.9268		1.5156e-22
0.0039699	-3.3365e-17	-0.21254	4.7720		9.9415e-23
0.0045022	1.3540e-15	0.031996	4.7446		8.9184e-23
0.0026610	3.2306e-17	1.1472		0.0095050	9.7080e-23
0.0028695	-4.3640e-18	-0.92861	3.8856		1.3958e-23
0.0062057	-2.8732e-16	1.0398		6.2805		5.6116e-23
0.0052955	4.0514e-16	1.1159		6.0834		1.0108e-22
0.00046390	5.8521e-20	0.68715		5.8248		4.6955e-22
0.0097827	4.2655e-15	0.76860		5.3829		4.9380e-23
0.0031386	4.4597e-17	-0.58442	4.3714		1.8405e-23
0.0090517	-3.1886e-15	-0.85312	3.9630		3.3825e-23
0.0030861	3.1552e-17	-0.72290	2.3212		4.2400e-23
0.0022225	2.5908e-17	-1.0163		2.1245		5.1583e-23
0.0033341	-9.9299e-18	1.4141		2.2510		1.2462e-22
0.0023149	-1.1627e-17	-0.56303	1.9615		8.3458e-23
0.0024189	1.1142e-17	-0.14195	1.6711		2.7004e-23
0.00055420	5.2244e-20	0.24866		2.3023		3.4189e-22
0.0013821	3.3793e-18	1.3093		5.0762		2.8972e-22
